"","ensembl_gene_id","res","Identifier"
"263","ENSG00000146416","Upregulated","NM_001286587"
"264","ENSG00000198894","Downregulated","NM_033426"
"265","ENSG00000111775","Upregulated","NM_004373"
"266","ENSG00000156381","Upregulated","NM_001348651"
"267","ENSG00000168772","Upregulated","NM_025212"
"268","ENSG00000137288","Upregulated","NM_032340"
"269","ENSG00000117226","Downregulated","NM_001319179"
"270","ENSG00000177600","Upregulated","NM_001004"
"271","ENSG00000114200","Upregulated","NM_000055"
"272","ENSG00000182712","Upregulated","NM_001018024"
"273","ENSG00000101335","Upregulated","NM_006097"
"274","ENSG00000160256","Upregulated","NM_001316983"
"275","ENSG00000108479","Upregulated","NM_000154"
"276","ENSG00000168743","Upregulated","NM_001033047"
"277","ENSG00000160050","Upregulated","NM_001301011"
"278","ENSG00000166734","Downregulated","NM_138423"
"279","ENSG00000076770","Downregulated","NM_001170701"
"280","ENSG00000053371","Upregulated","NM_001320979"
"281","ENSG00000133121","Upregulated","NM_001243466"
"282","ENSG00000101132","Upregulated","NM_002623"
"283","ENSG00000168653","Upregulated","NM_001184979"
"284","ENSG00000107854","Downregulated","NM_025235"
"285","ENSG00000164626","Upregulated","NM_003740"
"286","ENSG00000125675","Upregulated","NM_000828"
"287","ENSG00000135940","Upregulated","NM_001862"
"288","ENSG00000081377","Upregulated","NM_001077181"
"289","ENSG00000178078","Upregulated","NM_001013841"
"290","ENSG00000126432","Upregulated","NM_001358511"
"291","ENSG00000229117","Upregulated","NM_001035267"
"292","ENSG00000174917","Upregulated","NM_001308240"
"293","ENSG00000126353","Upregulated","NM_001301714"
"294","ENSG00000188620","Upregulated","NM_001105574"
"295","ENSG00000175701","Upregulated","NM_001355251"
"296","ENSG00000102081","Downregulated","NM_001185075"
"297","ENSG00000125952","Downregulated","NM_001271068"
"298","ENSG00000213079","Downregulated","NM_001286188"
"299","ENSG00000157933","Downregulated","NM_003036"
"300","ENSG00000118855","Downregulated","NM_001167903"
"301","ENSG00000164951","Downregulated","NM_001161778"
"302","ENSG00000197892","Downregulated","NM_015254"
"303","ENSG00000137221","Downregulated","NM_001146016"
"304","ENSG00000172780","Downregulated","NM_001204883"
"305","ENSG00000145016","Downregulated","NM_001145642"
"306","ENSG00000166676","Upregulated","NM_001079512"
"307","ENSG00000106392","Downregulated","NM_020156"
"308","ENSG00000148841","Downregulated","NM_001272012"
"309","ENSG00000014641","Upregulated","NM_001199111"
"310","ENSG00000171853","Upregulated","NM_001321102"
"311","ENSG00000233345","Upregulated","NM_002441"
"312","ENSG00000135956","Downregulated","NM_001193304"
"313","ENSG00000104219","Downregulated","NM_001362988"
"314","ENSG00000161243","Upregulated","NM_178820"
"315","ENSG00000205213","Upregulated","NM_001346432"
"316","ENSG00000196465","Upregulated","NM_001199629"
"317","ENSG00000163840","Downregulated","NM_138287"
"318","ENSG00000111859","Downregulated","NM_001142393"
"319","ENSG00000111640","Upregulated","NM_001256799"
"320","ENSG00000176853","Downregulated","NM_001317917"
"321","ENSG00000152969","Upregulated","NM_001099433"
"322","ENSG00000110848","Downregulated","NM_001781"
"323","ENSG00000105258","Upregulated","NM_006233"
"324","ENSG00000173141","Upregulated","NM_024026"
"325","ENSG00000137154","Upregulated","NM_001010"
"326","ENSG00000177485","Downregulated","NM_001184742"
"327","ENSG00000132781","Upregulated","NM_001048171"
"328","ENSG00000079974","Downregulated","NM_001003789"
"329","ENSG00000179271","Upregulated","NM_052850"
"330","ENSG00000188816","Upregulated","NM_005519"
"331","ENSG00000235941","Upregulated","NM_005345"
"332","ENSG00000143786","Upregulated","NM_001322302"
"333","ENSG00000242361","Upregulated","NM_006120"
"334","ENSG00000175893","Downregulated","NM_001354118"
"335","ENSG00000154277","Upregulated","NM_004181"
"336","ENSG00000186063","Downregulated","NM_022831"
"337","ENSG00000122547","Upregulated","NM_030636"
"338","ENSG00000134061","Downregulated","NM_005582"
"339","ENSG00000178127","Upregulated","NM_021074"
"340","ENSG00000072682","Upregulated","NM_001017974"
"341","ENSG00000122643","Downregulated","NM_001002009"
"342","ENSG00000174928","Upregulated","NM_001308229"
"343","ENSG00000175536","Upregulated","NM_001144869"
"344","ENSG00000184857","Upregulated","NM_015421"
"345","ENSG00000186665","Upregulated","NM_001382359"
"346","ENSG00000163576","Upregulated","NM_001330688"
"347","ENSG00000166136","Upregulated","NM_001284367"
"348","ENSG00000177181","Upregulated","NM_173642"
"349","ENSG00000138674","Downregulated","NM_001077206"
"350","ENSG00000136942","Upregulated","NM_007209"
"351","ENSG00000135503","Downregulated","NM_001412774"
"352","ENSG00000120437","Upregulated","NM_001303253"
"353","ENSG00000169567","Upregulated","NM_005340"
"354","ENSG00000149273","Upregulated","NM_001005"
"355","ENSG00000131143","Upregulated","NM_001318786"
"356","ENSG00000115267","Downregulated","NM_022168"
"357","ENSG00000175602","Upregulated","NM_006848"
"358","ENSG00000104140","Upregulated","NM_133639"
"359","ENSG00000170955","Upregulated","NM_145040"
"360","ENSG00000004766","Downregulated","NM_001257998"
"361","ENSG00000119772","Downregulated","NM_001320892"
"362","ENSG00000110711","Upregulated","NM_001302959"
"363","ENSG00000108443","Downregulated","NM_001272042"
"364","ENSG00000157601","Downregulated","NM_001144925"
"365","ENSG00000204568","Upregulated","NM_014046"
"366","ENSG00000205302","Downregulated","NM_001278199"
"367","ENSG00000125995","Upregulated","NM_080748"
"368","ENSG00000278644","Upregulated","NM_001369614"
"369","ENSG00000107874","Upregulated","NM_024040"
"370","ENSG00000075568","Downregulated","NM_015348"
"371","ENSG00000167969","Upregulated","NM_001178029"
"372","ENSG00000145979","Upregulated","NM_001143964"
"373","ENSG00000138801","Downregulated","NM_005443"
"374","ENSG00000143256","Upregulated","NM_012394"
"375","ENSG00000068028","Upregulated","NM_001206957"
"376","ENSG00000106153","Upregulated","NM_001320327"
"377","ENSG00000115183","Upregulated","NM_001145909"
"378","ENSG00000118454","Downregulated","NM_030816"
"379","ENSG00000130348","Downregulated","NM_018292"
"380","ENSG00000242259","Upregulated","NM_001166242"
"381","ENSG00000105879","Downregulated","NM_001284291"
"382","ENSG00000117118","Upregulated","NM_001407361"
