"","ensembl_gene_id","res","Identifier"
"327","ENSG00000240505","Downregulated","NM_012452"
"328","ENSG00000117475","Downregulated","NM_001320972"
"329","ENSG00000277117","Upregulated","NM_001363770"
"330","ENSG00000213886","Upregulated","NM_006398"
"331","ENSG00000185842","Upregulated","NM_001145154"
"332","ENSG00000170871","Upregulated","NM_001100590"
"333","ENSG00000092051","Upregulated","NM_001146028"
"334","ENSG00000004139","Upregulated","NM_015077"
"335","ENSG00000228425","Upregulated","NM_001289174"
"336","ENSG00000162959","Downregulated","NM_001137602"
"337","ENSG00000179144","Upregulated","NM_153236"
"338","ENSG00000164691","Upregulated","NM_001278733"
"339","ENSG00000186806","Downregulated","NM_001163922"
"340","ENSG00000104660","Downregulated","NM_001128208"
"341","ENSG00000142459","Upregulated","NM_001159944"
"342","ENSG00000239713","Downregulated","NM_001349436"
"343","ENSG00000221823","Downregulated","NM_000945"
"344","ENSG00000122882","Upregulated","NM_001135752"
"345","ENSG00000039068","Upregulated","NM_001317184"
"346","ENSG00000138814","Downregulated","NM_000944"
"347","ENSG00000157680","Upregulated","NM_001321708"
"348","ENSG00000131142","Downregulated","NM_001201359"
"349","ENSG00000136111","Upregulated","NM_001286658"
"350","ENSG00000131080","Upregulated","NM_001199687"
"351","ENSG00000114054","Upregulated","NM_000532"
"352","ENSG00000072310","Downregulated","NM_001005291"
"353","ENSG00000188343","Upregulated","NM_001283034"
"354","ENSG00000198856","Downregulated","NM_001267817"
"355","ENSG00000020426","Downregulated","NM_001177963"
"356","ENSG00000163053","Upregulated","NM_152527"
"357","ENSG00000185090","Upregulated","NM_001031740"
"358","ENSG00000035928","Downregulated","NM_001204747"
"359","ENSG00000101445","Upregulated","NM_001172735"
"360","ENSG00000054179","Upregulated","NM_001246"
"361","ENSG00000172005","Upregulated","NM_002371"
"362","ENSG00000189233","Downregulated","NM_001010906"
"363","ENSG00000008277","Upregulated","NM_001324417"
"364","ENSG00000102471","Upregulated","NM_001161407"
"365","ENSG00000168772","Upregulated","NM_025212"
"366","ENSG00000235941","Upregulated","NM_005345"
"367","ENSG00000240204","Upregulated","NM_001195243"
"368","ENSG00000159267","Upregulated","NM_000411"
"369","ENSG00000173221","Downregulated","NM_001118890"
"370","ENSG00000145284","Upregulated","NM_001037582"
"371","ENSG00000160783","Downregulated","NM_001199653"
"372","ENSG00000214944","Upregulated","NM_001080479"
"373","ENSG00000139722","Downregulated","NM_024667"
"374","ENSG00000114013","Downregulated","NM_001206924"
"375","ENSG00000231945","Upregulated","NM_006295"
"376","ENSG00000184371","Upregulated","NM_000757"
"377","ENSG00000169994","Upregulated","NM_001080527"
"378","ENSG00000182013","Upregulated","NM_001103149"
"379","ENSG00000118922","Downregulated","NM_001400136"
"380","ENSG00000154305","Downregulated","NM_001300867"
"381","ENSG00000147443","Downregulated","NM_001317800"
"382","ENSG00000145736","Upregulated","NM_001364567"
"383","ENSG00000213203","Upregulated","NM_130759"
"384","ENSG00000083457","Downregulated","NM_002208"
"385","ENSG00000281690","Upregulated","NM_001324511"
"386","ENSG00000090530","Upregulated","NM_001134418"
"387","ENSG00000180035","Downregulated","NM_001214906"
"388","ENSG00000145703","Downregulated","NM_001285460"
"389","ENSG00000105426","Upregulated","NM_001394011"
"390","ENSG00000136514","Downregulated","NM_022147"
"391","ENSG00000114316","Upregulated","NM_001251877"
"392","ENSG00000120860","Downregulated","NM_001301107"
"393","ENSG00000198208","Upregulated","NM_001370252"
"394","ENSG00000001561","Upregulated","NM_014936"
"395","ENSG00000172172","Downregulated","NM_014078"
"396","ENSG00000148429","Downregulated","NM_001080491"
"397","ENSG00000188878","Upregulated","NM_001080542"
"398","ENSG00000235750","Downregulated","NM_001162893"
"399","ENSG00000161243","Upregulated","NM_178820"
"400","ENSG00000130348","Downregulated","NM_018292"
"401","ENSG00000152076","Upregulated","NM_001258307"
"402","ENSG00000196730","Upregulated","NM_001288729"
"403","ENSG00000111452","Upregulated","NM_001330497"
"404","ENSG00000145990","Upregulated","NM_001242628"
"405","ENSG00000155755","Upregulated","NM_001044385"
"406","ENSG00000110080","Downregulated","NM_001254757"
"407","ENSG00000116815","Upregulated","NM_001144822"
"408","ENSG00000186716","Upregulated","NM_004327"
"409","ENSG00000134775","Upregulated","NM_001281739"
"410","ENSG00000110400","Upregulated","NM_002855"
"411","ENSG00000149792","Downregulated","NM_004927"
"412","ENSG00000143333","Upregulated","NM_002928"
"413","ENSG00000119041","Upregulated","NM_001206774"
