"","ensembl_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","res","SYMBOL"
"5748","ENSG00000155016",-0.198929845282437,0.835657851439232,-0.63707032086992,0.529771631044218,0.816563902090085,-6.06418721359963,"NotSig","CYP2U1"
"5749","ENSG00000070610",0.240761964212253,4.53496958329595,1.54784755735384,0.1340119830675,0.475309965986155,-6.06418732347057,"NotSig","GBA2"
"5750","ENSG00000100216",-0.175313184334399,6.50392407888643,-1.61052886489895,0.119623834892087,0.449703941469143,-6.06523410818845,"NotSig","TOMM22"
"5751","ENSG00000157796",0.306891705192163,2.48881388560404,1.26452077424458,0.217507177407789,0.589204559710233,-6.0654439572573,"NotSig","WDR19"
"5752","ENSG00000186226",0.234975102971345,0.297089370781606,0.35561350397342,0.725062232233816,0.908426328698202,-6.06586804696909,"NotSig","LCE1E"
"5753","ENSG00000204178",-0.261904444531084,3.46057174441981,-1.38178224488332,0.179054996688392,0.541666023714652,-6.06599812433616,"NotSig","MACO1"
"5754","ENSG00000242349",0.096657626024399,0.118112505871731,0.213402564273947,0.832714203290333,0.946975981225141,-6.06640105024869,"NotSig",NA
"5755","ENSG00000126351",-0.0318356204963255,0.110615186658885,-0.091796931881077,0.927578514392742,0.98024811973654,-6.06640687468612,"NotSig","THRA"
"5756","ENSG00000174384",0.236380011831779,3.44005483718055,1.44140668199847,0.161668580648867,0.518026437036675,-6.0667388096217,"NotSig",NA
"5757","ENSG00000228668",-0.58601874033607,1.33834045273089,-0.816600167815805,0.421739306995025,0.754911631085045,-6.06706217949087,"NotSig","TRGV5P"
"5758","ENSG00000130159",-0.189262983981426,4.7303412538792,-1.53700124898603,0.136640339392709,0.479154482430785,-6.06716093929819,"NotSig","ECSIT"
"5759","ENSG00000175592",0.302525068976322,1.43102130393753,1.01855459015056,0.318005080974233,0.682716350933145,-6.06754065204506,"NotSig","FOSL1"
"5760","ENSG00000065413",0.407526476665514,1.51113093455115,1.05503523330457,0.301327719816571,0.66861806435069,-6.06757110375851,"NotSig","ANKRD44"
"5761","ENSG00000157224",0.304492731719036,3.01606209786398,1.38895889661199,0.176887223501901,0.539065445423,-6.06864474379423,"NotSig","CLDN12"
"5762","ENSG00000156860",0.251898296433444,5.39568377155991,1.59267169479212,0.123586170846934,0.458283187589123,-6.06888864473432,"NotSig","FBRS"
"5763","ENSG00000103495",-0.189512940986694,6.6475567552727,-1.6080783693534,0.120161256819396,0.4503150446998,-6.06954667096934,"NotSig","MAZ"
"5764","ENSG00000163006",-0.235607608125108,2.86186466892141,-1.28116225652895,0.211694128906399,0.581582515492016,-6.0696801226432,"NotSig","CCDC138"
"5765","ENSG00000117868",-0.426294874209929,3.91458382490148,-1.44825076444888,0.159762232857195,0.515179029537181,-6.06969335219435,"NotSig","ESYT2"
"5766","ENSG00000196793",-0.105770453666358,0.352484907672698,-0.28271066894313,0.779686501836161,0.930967226764405,-6.06975323555384,"NotSig","ZNF239"
"5767","ENSG00000105499",0.667981526739457,1.7997911052058,1.18216935466994,0.24807212126625,0.620720509451282,-6.06978084918137,"NotSig","PLA2G4C"
"5768","ENSG00000158481",0.520946648015088,1.14186033128433,0.969826598471319,0.3412650658147,0.704289373294434,-6.0699873628416,"NotSig","CD1C"
"5769","ENSG00000117632",-0.291516776763457,8.43431389457074,-1.61698392678355,0.118217709641952,0.448192376728848,-6.07097456620959,"NotSig","STMN1"
"5770","ENSG00000223547",0.109793392565485,0.211170618819988,0.406258866243582,0.687950115922382,0.892143939060113,-6.07141895579526,"NotSig","ZNF844"
"5771","ENSG00000128815",-0.482467053312744,4.57757876398481,-1.49309706761426,0.147712955756476,0.496068934005912,-6.07150330205375,"NotSig","WDFY4"
"5772","ENSG00000092421",0.173250302591017,0.295680711478993,0.245930194596004,0.807709901146898,0.939614282397668,-6.07165055973187,"NotSig","SEMA6A"
"5773","ENSG00000281449",0.0264350477877389,-0.00849333221881415,0.0566229415454576,0.955288004847846,0.986802352725097,-6.07187900711794,"NotSig","BCL2L14"
"5774","ENSG00000186376",-0.138510200688754,1.92139601331842,-1.04649432298677,0.305175890254002,0.671588639903781,-6.07191095110492,"NotSig","ZNF75D"
"5775","ENSG00000213988",-0.402306902520488,2.92585358206319,-1.30320846656755,0.204177360510982,0.571005215194097,-6.07235199071968,"NotSig","ZNF90"
"5776","ENSG00000111481",0.138959652200701,7.17182709243572,1.61182300458328,0.119340821125223,0.449023237570813,-6.07246666057607,"NotSig","COPZ1"
"5777","ENSG00000221886",0.147985443225926,0.974847239821714,0.772000331403223,0.447227839509053,0.769779114717646,-6.0724975917963,"NotSig","FAM200C"
"5778","ENSG00000099256",-0.527979693465819,1.03257352259616,-0.50143109726026,0.620380025328217,0.862744695818845,-6.07284983650623,"NotSig","PRTFDC1"
"5779","ENSG00000171940",0.385531851752919,4.79542560009398,1.5684685758942,0.129129271058985,0.467303818953756,-6.07309415888313,"NotSig","ZNF217"
"5780","ENSG00000090376",0.383552416993791,0.745161402153024,0.762640887694018,0.452692438458481,0.77286242612589,-6.07408866512379,"NotSig","IRAK3"
"5781","ENSG00000120616",-0.189773868719019,4.11570601376186,-1.48942169109496,0.148671970848716,0.498111415515956,-6.07446544705697,"NotSig","EPC1"
"5782","ENSG00000010219",-0.234311648241355,5.0238148302809,-1.55549016449419,0.13218496744319,0.472282529402352,-6.07447559380321,"NotSig","DYRK4"
"5783","ENSG00000186998",-0.90300261103055,3.88966863143142,-1.35743203442935,0.18656645549617,0.550556034987425,-6.07453860530409,"NotSig","EMID1"
"5784","ENSG00000069812",-0.0577082441045345,0.0242339346468544,-0.105020266431321,0.917183494584041,0.977391260810802,-6.0748087648596,"NotSig","HES2"
"5785","ENSG00000186792",-0.199890674821999,1.19107435149889,-0.776761174652343,0.444463495049216,0.767429847586611,-6.07484210857386,"NotSig","HYAL3"
"5786","ENSG00000156030",0.282191156611253,4.41178975323627,1.54409949440101,0.134915517902106,0.475950903611153,-6.07546459261918,"NotSig","MIDEAS"
"5787","ENSG00000133056",0.17161108902293,0.449809861441478,0.456124706352446,0.652170881442166,0.877708504221581,-6.07599926727422,"NotSig","PIK3C2B"
"5788","ENSG00000165644",-0.310923217542462,3.98890556520515,-1.45314547006746,0.158409943839751,0.51279495293936,-6.07630842205075,"NotSig","COMTD1"
"5789","ENSG00000196081",0.0122794937482861,0.130696136476749,0.0332424625082213,0.973740719875254,0.991906477425431,-6.07644950302568,"NotSig","ZNF724"
"5790","ENSG00000223396",0.0949037336021684,0.343030490863677,0.359993872289191,0.721823592182228,0.906929442530757,-6.07645718014558,"NotSig",NA
"5791","ENSG00000181104",0.0959465094206844,0.282270088209149,0.214362235172197,0.831973779672939,0.946916582652731,-6.07667393203401,"NotSig","F2R"
"5792","ENSG00000119048",-0.290171732209262,6.28906265713802,-1.60011780379925,0.121920939095241,0.454717270450046,-6.07672866005267,"NotSig","UBE2B"
"5793","ENSG00000224120",0.287612536735924,3.59082204397884,1.45492044325487,0.157921836243485,0.512470320265573,-6.07699650779615,"NotSig","C6orf136"
"5794","ENSG00000218426",0.24455087215653,0.0987099534659721,0.721701769679439,0.477060158960671,0.785029832437671,-6.07711664681313,"NotSig","RPL27AP6"
"5795","ENSG00000119335",-0.149595264971752,8.70080597702535,-1.61375265259675,0.118919861488726,0.44858893797089,-6.07713412318437,"NotSig","SET"
"5796","ENSG00000146350",0.245356580597436,1.47509598528481,1.00555215379596,0.324101476898227,0.687538435661129,-6.07755855756701,"NotSig","TBC1D32"
"5797","ENSG00000112701",-0.138758680903206,5.23985138021447,-1.57237772439149,0.128220357147894,0.46608157149197,-6.07758413738449,"NotSig","SENP6"
"5798","ENSG00000242852",-0.108122786390067,0.547916174754063,-0.484751654968865,0.632000890600788,0.869025284472126,-6.07772712330122,"NotSig","ZNF709"
"5799","ENSG00000154359",-0.307535359298186,2.55579662068112,-1.21422336804789,0.235815537272518,0.610861061841198,-6.07783804471784,"NotSig","LONRF1"
"5800","ENSG00000277909",-0.52503930888066,4.46855305190793,-1.49428536782825,0.147403966629026,0.496068934005912,-6.07841204170737,"NotSig","SPC25"
"5801","ENSG00000141446",-0.181073330409875,3.95653731647557,-1.47703410650501,0.15194141149244,0.50483015641726,-6.07846083053398,"NotSig","ESCO1"
"5802","ENSG00000167904",0.192154985480608,4.3295499216936,1.5294419953743,0.138496964368357,0.482112457103126,-6.07853320198756,"NotSig","TMEM68"
"5803","ENSG00000103160",-0.246560183665436,2.54413082644314,-1.20871498900715,0.23788889041818,0.612641550961962,-6.07900877365124,"NotSig","HSDL1"
"5804","ENSG00000167470",-0.227456018579597,4.14414142217314,-1.4911999657965,0.14820733874704,0.497185015030054,-6.07901324664778,"NotSig","MIDN"
"5805","ENSG00000214226",0.0963818964799021,0.369717989759303,0.456025542861535,0.652241232746391,0.877708504221581,-6.07950034740261,"NotSig","C17orf67"
"5806","ENSG00000104343",-0.236568912369961,2.34445238092717,-1.18295745513308,0.247765208142757,0.62065771761107,-6.0795389124793,"NotSig","UBE2W"
"5807","ENSG00000180229",0.501470480062818,2.78136349609704,1.35212806026874,0.188234893744324,0.552971297497324,-6.07960419640461,"NotSig",NA
"5808","ENSG00000280411",-1.69263108489915,2.50096885336522,-0.267300919329692,0.791392851843705,0.93567434767228,-6.07973759548007,"NotSig","IGHV1-69D"
"5809","ENSG00000128159",0.197651798268482,4.18824952670384,1.5119189912519,0.142880025095841,0.489291789149694,-6.07989057591072,"NotSig","TUBGCP6"
"5810","ENSG00000088387",-0.458462768886461,0.951365463602848,-0.74967663857077,0.460327405501112,0.776259103661522,-6.08021470981995,"NotSig","DOCK9"
"5811","ENSG00000139324",-0.102898241071603,0.692268926993321,-0.583950284076156,0.564396890093675,0.835529969269305,-6.08091197709572,"NotSig","TMTC3"
"5812","ENSG00000104331",-0.167703443689903,3.82482738791721,-1.45381161898394,0.158226614942506,0.51279495293936,-6.08128153937349,"NotSig","BPNT2"
"5813","ENSG00000187742",-0.129153430194045,4.44302049409999,-1.52093291338455,0.140611460465951,0.486289572466004,-6.08152614478427,"NotSig","SECISBP2"
"5814","ENSG00000102317",-0.259963310261459,8.18971104427844,-1.60962792497388,0.119821189045058,0.449993674984476,-6.08163189518038,"NotSig","RBM3"
"5815","ENSG00000197275",-0.442566382208232,4.05230893939605,-1.45365803572208,0.158268867035328,0.51279495293936,-6.081662843026,"NotSig","RAD54B"
"5816","ENSG00000161939",0.124976632113016,0.280707547729458,0.366075769090427,0.717335682257517,0.904645324045699,-6.08174047262356,"NotSig","RNASEK-C17orf49"
"5817","ENSG00000150403",0.193034784590929,4.11595387693302,1.51187108490601,0.142892160914838,0.489291789149694,-6.08175435905853,"NotSig","TMCO3"
"5818","ENSG00000241255",-0.211727257824362,0.928263661050023,-0.507877249042113,0.615915428205272,0.861217090988767,-6.08188429473925,"NotSig",NA
"5819","ENSG00000136986",-0.194577579937892,5.59630421049192,-1.58026516951069,0.126402495297613,0.462598724841405,-6.0824057242981,"NotSig","DERL1"
"5820","ENSG00000261317",-0.221297892829704,-0.0719113193877559,-0.222022524913488,0.826069286820079,0.944671532327177,-6.08245342325451,"NotSig",NA
"5821","ENSG00000104205",-0.119139841047312,0.271308152816912,-0.287588126893691,0.775992094847318,0.929240623257968,-6.08250673213018,"NotSig","SGK3"
"5822","ENSG00000197978",0.696560856517462,0.719282338700148,0.874813953906206,0.389860753426092,0.733326689789662,-6.08262163369624,"NotSig","GOLGA6L9"
"5823","ENSG00000249459",-0.00515443710526004,0.301758796748436,-0.0108141035942798,0.991456132968842,0.99688339326469,-6.08266682160014,"NotSig",NA
"5824","ENSG00000179344",-4.4216448267027,3.27718629837313,-0.948955494587112,0.351572760233231,0.711365027382439,-6.08269752841532,"NotSig","HLA-DQB1"
"5825","ENSG00000260727",-0.21634381712998,0.12904525178581,-0.476195524034129,0.637999960176137,0.870990938971808,-6.08282697298374,"NotSig","SLC7A5P1"
"5826","ENSG00000072954",0.35902130181283,3.4800248265293,1.4393512009531,0.162244654081892,0.519104324222306,-6.08311972918991,"NotSig","TMEM38A"
"5827","ENSG00000119912",-0.716459374754297,1.05778695432142,-0.786126623057154,0.439055776947554,0.764485839581629,-6.08313990972534,"NotSig","IDE"
"5828","ENSG00000137124",0.22214236883556,3.84185308608776,1.46828956837019,0.154284092435333,0.508767737523202,-6.08335459023692,"NotSig","ALDH1B1"
"5829","ENSG00000136044",-0.20665254697793,2.44872267916658,-1.18738092361715,0.246047785168201,0.61936735865922,-6.08362364956555,"NotSig","APPL2"
"5830","ENSG00000140307",-0.229142756080406,7.02255075022756,-1.60214428970156,0.121470971002861,0.453551119195199,-6.08416313584089,"NotSig","GTF2A2"
"5831","ENSG00000154016",0.21583519702643,5.34528015482307,1.5730052198149,0.128074950545501,0.46608157149197,-6.08417922112113,"NotSig","GRAP"
"5832","ENSG00000095303",0.256363250582691,0.568150452696675,0.575735110939176,0.569853298239936,0.83939669562712,-6.08430142931187,"NotSig","PTGS1"
"5833","ENSG00000138639",0.697199792655709,1.15445598197655,1.00379519248272,0.324931404171566,0.688194193736668,-6.08484819829874,"NotSig","ARHGAP24"
"5834","ENSG00000121152",-0.345834279091263,5.49273393208813,-1.56501683609659,0.129936235695545,0.468512912877511,-6.08484949331715,"NotSig","NCAPH"
"5835","ENSG00000021355",-0.650553561696339,4.44760091627302,-1.47981878286536,0.151201443496581,0.503268482207513,-6.08506474918891,"NotSig","SERPINB1"
"5836","ENSG00000139620",-0.159214137778887,4.74838531613065,-1.53284504005541,0.137658610138258,0.480810911502033,-6.08544479695454,"NotSig","KANSL2"
"5837","ENSG00000022567",0.156399162535306,0.220579414074638,0.498403884327749,0.622481811275434,0.863539750188219,-6.0859410764962,"NotSig","SLC45A4"
"5838","ENSG00000175137",0.13003943139316,3.45125531557774,1.40462464493377,0.172227261690978,0.534136251268676,-6.08599876489257,"NotSig","SH3BP5L"
"5839","ENSG00000259315",-0.0473395367730778,0.405359094598868,-0.112891919579782,0.911002491145986,0.976396051423721,-6.0862707841011,"NotSig","ACTG1P17"
"5840","ENSG00000127081",0.13375881436896,0.579273709888819,0.58176654910004,0.565844694296657,0.836829523272079,-6.08641020243699,"NotSig","ZNF484"
"5841","ENSG00000141252",-0.0448506957848048,0.378653291721016,-0.118459294434438,0.906634280301172,0.975133082998962,-6.08648507001721,"NotSig","VPS53"
"5842","ENSG00000146054",-0.219127253887159,0.506412493451907,-0.443858589075864,0.660897767453777,0.880353134993368,-6.08674000538568,"NotSig","TRIM7"
"5843","ENSG00000081177",0.170600745858326,2.49493033591535,1.24816171412958,0.223339360536693,0.596010073609483,-6.08795687818343,"NotSig","EXD2"
"5844","ENSG00000168802",-0.240148039617711,6.178193023827,-1.58728802537616,0.124801845688225,0.459791138060357,-6.08835644741504,"NotSig","CHTF8"
"5845","ENSG00000196998",-0.263420668215573,4.48366783167771,-1.5086203744433,0.143717603415939,0.490846319859969,-6.0885222167209,"NotSig","WDR45"
"5846","ENSG00000142166",-0.174466328442351,3.27605439493249,-1.36385956704013,0.18456012971508,0.548720045113303,-6.08917646109573,"NotSig","IFNAR1"
"5847","ENSG00000159055",-0.271596935234621,4.47736990013618,-1.50806285889765,0.143859560095839,0.491184173424531,-6.08940353779282,"NotSig","MIS18A"
"5848","ENSG00000076984",-0.146636825814765,3.84421069354129,-1.45884043685654,0.156848137249674,0.511432763980984,-6.0896339582398,"NotSig","MAP2K7"
